source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
416.0,97.5,0.0,2.5,0.0,2.5,0.0,2.02,1700.0,7.5,41.824,14.95,7.48e-07,97.2,3.90975,5.5208026947729,1750.0,1.181,603.0,437,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
417.0,97.5,0.0,2.5,0.0,2.5,0.0,3.98,2100.0,7.5,41.824,14.46,7.48e-07,97.2,3.90975,9.870593513769954,889.8305084745764,1.3264,395.0,438,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
418.0,97.5,0.0,2.5,0.0,2.5,0.0,5.97,2500.0,7.5,41.824,15.03,7.48e-07,97.2,3.90975,12.529820954748644,766.6666666666666,1.5834299999999994,373.0,439,fuel_composition_not_within_99.99_to_100.01_pct,102.5,,
419.0,97.5,0.0,3.5,0.0,3.5,0.0,7.05,2900.0,7.5,41.824,14.42,7.48e-07,97.2,3.90975,12.978131154446048,710.1449275362319,1.8214299999999992,320.0,440,fuel_composition_not_within_99.99_to_100.01_pct,104.5,,
420.0,97.5,0.0,3.5,0.0,3.5,0.0,8.0,3300.0,7.5,41.824,14.43,7.48e-07,97.2,3.90975,13.661812315506767,649.5726495726497,2.35243,251.0,441,fuel_composition_not_within_99.99_to_100.01_pct,104.5,,
421.0,96.5,0.0,3.5,0.0,3.5,0.0,1.94,1700.0,4.67,41.833,14.16,7.5e-07,97.19,3.9349,4.03960895704941,1631.578947368421,1.4724,652.0,442,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
422.0,96.5,0.0,3.5,0.0,3.5,0.0,3.98,2100.0,4.67,41.833,14.01,7.5e-07,97.19,3.9349,6.971745529664291,932.7731092436976,1.735,492.0,443,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
423.0,96.5,0.0,3.5,0.0,3.5,0.0,5.91,2500.0,4.67,41.833,14.42,7.5e-07,97.19,3.9349,9.816444915165857,742.8571428571429,1.758,492.0,444,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
424.0,96.5,0.0,3.5,0.0,3.5,0.0,6.98,2900.0,4.67,41.833,14.87,7.5e-07,97.19,3.9349,10.975736415531665,714.2857142857143,2.1133999999999995,365.0,445,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
425.0,96.5,0.0,3.5,0.0,3.5,0.0,8.0,3300.0,4.67,41.833,14.58,7.5e-07,97.19,3.9349,12.06090117488594,639.6396396396395,2.6444,336.0,446,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
